pH,tds,turbidity,bod,cod,temperature,heavy_metals,intended_reuse,recipe_class,alum_dose,polymer_dose,chlorine_dose,antiscalant_dose
7.35,2590,109,211,267,35,0,Washing,recipe_3,42.41,1.72,3.68,3.69
5.8,1341,197,336,339,38,1,Washing,recipe_3,39.19,1.67,3.42,4.0
5.44,2999,184,83,396,25,0,Irrigation,recipe_3,52.23,1.79,3.29,3.43
6.6,1195,29,155,105,30,1,Irrigation,recipe_3,48.4,1.7,3.78,3.49
8.07,1575,52,237,465,29,1,Cooling,recipe_3,37.19,1.22,4.49,4.75
7.65,2713,94,391,627,24,0,Industrial,recipe_3,46.14,1.38,4.75,4.08
5.56,1019,176,107,541,28,1,Industrial,recipe_3,37.36,1.34,3.79,3.66
8.48,2274,8,231,615,34,0,Construction,recipe_3,37.01,1.55,3.36,3.25
5.13,880,129,157,426,37,1,Industrial,recipe_3,42.55,1.25,4.79,3.46
6.75,2411,164,271,766,23,1,Washing,recipe_3,52.46,1.63,3.81,4.41
7.51,869,39,392,180,27,1,Construction,recipe_3,46.44,1.49,4.21,3.96
5.76,2990,8,44,156,30,0,Irrigation,recipe_2,30.03,0.88,2.55,0.0
6.92,1855,136,167,49,27,1,Construction,recipe_3,51.01,1.49,3.34,4.19
7.32,2776,20,299,461,35,0,Washing,recipe_3,49.61,1.66,4.04,4.28
8.07,1984,102,55,678,15,1,Cooling,recipe_3,43.74,1.64,3.74,4.5
6.17,2667,135,382,292,30,0,Industrial,recipe_3,43.64,1.75,4.41,3.71
8.16,666,18,190,147,20,0,Industrial,recipe_4,11.1,0.21,2.34,3.48
8.43,2532,109,143,433,23,0,Construction,recipe_3,38.79,1.44,3.22,4.21
8.76,2138,42,49,593,24,0,Washing,recipe_3,36.98,1.58,3.54,3.41
5.78,1888,156,48,696,19,0,Washing,recipe_3,43.11,1.62,4.5,4.54
5.89,540,4,302,93,34,1,Construction,recipe_3,41.17,1.21,4.2,4.29
6.54,2669,159,67,753,40,1,Irrigation,recipe_3,36.87,1.44,3.98,3.25
8.47,2149,95,50,151,24,0,Cooling,recipe_4,10.5,0.18,2.27,2.88
8.68,2017,16,178,79,26,1,Industrial,recipe_3,50.64,1.56,3.66,4.54
5.66,2946,170,252,470,28,1,Washing,recipe_3,42.16,1.47,4.07,3.85
5.31,1170,46,126,96,32,1,Irrigation,recipe_3,47.97,1.74,3.9,3.54
8.6,2871,39,237,523,21,1,Washing,recipe_3,40.59,1.44,3.41,3.93
6.81,2009,96,308,218,25,1,Construction,recipe_3,49.46,1.38,3.69,3.46
5.16,2784,53,279,370,28,0,Irrigation,recipe_3,36.91,1.67,4.73,3.52
6.92,2110,54,72,129,34,1,Irrigation,recipe_3,48.42,1.39,4.53,4.02
8.56,1935,194,56,37,28,0,Washing,recipe_3,46.56,1.27,4.62,3.9
7.3,1720,55,239,622,21,1,Washing,recipe_3,51.67,1.61,3.6,4.01
6.27,2843,5,72,370,27,1,Industrial,recipe_3,46.73,1.38,4.53,3.55
7.73,1146,2,285,362,27,1,Industrial,recipe_3,43.82,1.27,3.78,3.8
6.02,2522,197,316,658,39,0,Washing,recipe_3,37.74,1.74,4.73,3.78
7.04,2592,51,352,762,19,1,Irrigation,recipe_3,50.45,1.49,3.41,3.95
7.32,1012,150,48,602,17,1,Construction,recipe_3,46.76,1.72,3.61,3.86
6.88,2428,40,285,376,26,1,Washing,recipe_3,48.44,1.66,3.77,3.54
8.2,1915,133,83,130,31,1,Cooling,recipe_3,43.36,1.51,4.65,3.34
6.69,946,131,299,486,37,1,Cooling,recipe_3,49.46,1.66,4.07,3.46
8.39,488,191,153,471,17,1,Industrial,recipe_3,43.53,1.73,3.47,3.36
8.22,2031,32,294,657,24,0,Washing,recipe_3,45.33,1.62,4.51,3.66
6.55,1753,150,339,286,27,1,Washing,recipe_3,42.26,1.78,3.46,3.74
5.02,1380,132,165,252,16,0,Irrigation,recipe_3,40.52,1.5,3.27,3.73
7.81,2313,162,86,689,18,0,Construction,recipe_3,41.68,1.7,4.29,3.6
5.26,1075,136,203,49,40,1,Industrial,recipe_3,51.14,1.24,3.78,3.24
5.54,374,76,147,483,38,1,Washing,recipe_3,52.39,1.22,3.3,3.98
5.04,311,69,264,36,30,1,Industrial,recipe_3,37.14,1.2,4.4,4.12
8.58,1336,16,166,380,17,1,Construction,recipe_3,49.06,1.23,4.58,3.87
6.5,2194,165,280,76,33,0,Washing,recipe_3,37.33,1.3,4.06,3.28
